"Valor","Localizacao","Caracteristicas","Caracteristicas_Imovel"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
NA,NA,NA,"Segurança 24h"
"R$ 255.000VendaCondomínioR$ 1 / mêsIPTUR$ 1Simular financiamento(85) 98149-9...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Cristiano OtoniMondubim, Fortaleza, CE, 60761420","Área útil38m²","Churrasqueira"
NA,NA,"Quartos2","Piscina"
NA,NA,"Banheiros1","Varanda"
NA,NA,"Vagas na garagem1","Condomínio fechado"
NA,NA,NA,"Elevador"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 199.000R$ 185.000VendaCondomínioR$ 250 / mêsIPTUR$ 300Simular financiamento(85) 99794-8...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Júlio AlcidesMaraponga, Fortaleza, CE, 60710680","Área útil44m²","Ar condicionado"
NA,NA,"Quartos2","Churrasqueira"
NA,NA,"Banheiros1","Piscina"
NA,NA,"Vagas na garagem1","Condomínio fechado"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 445.000R$ 420.000VendaCondomínioR$ 495 / mêsSimular financiamento(85) 98697-2...Exibir telefoneChat","MarapongaFortaleza, CE, 60710684","Área útil62m²","Área de serviço"
NA,NA,"Quartos2","Varanda"
NA,NA,"Banheiros3","Academia"
NA,NA,"Vagas na garagem2","Condomínio fechado"
NA,NA,NA,"Elevador"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
NA,NA,NA,"Segurança 24h"
"R$ 455.000VendaCondomínioR$ 400 / mêsSimular financiamento(85) 98697-2...Exibir telefoneChat","Avenida Godofredo Maciel - de 1282 a 3540 - lado parMaraponga, Fortaleza, CE, 60710902","Área construída62m²","Área de serviço"
NA,NA,"Quartos3","Varanda"
NA,NA,"Banheiros2","Academia"
NA,NA,"Vagas na garagem2","Área murada"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portão eletrônico"
NA,NA,NA,"Segurança 24h"
"R$ 325.000VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 99717-1...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Mirtil MeyerMondubim, Fortaleza, CE, 60762080","Área útil52m²","Academia"
NA,NA,"Quartos2","Churrasqueira"
NA,NA,"Banheiros2","Piscina"
NA,NA,"Vagas na garagem1","Academia"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Elevador"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 235.000VendaCondomínioR$ 450 / mêsIPTUR$ 100Simular financiamento(85) 99629-6...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Joaquim JerônimoMondubim, Fortaleza, CE, 60711520","Área útil66m²","Condomínio fechado"
NA,NA,"Quartos3","Permitido animais"
NA,NA,"Banheiros2","Portaria"
NA,NA,"Vagas na garagem1",NA
"R$ 235.000VendaCondomínioR$ 450 / mêsIPTUR$ 100Simular financiamento(85) 99629-6...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Joaquim JerônimoMondubim, Fortaleza, CE, 60711520","Área útil66m²","Condomínio fechado"
NA,NA,"Quartos3","Permitido animais"
NA,NA,"Banheiros1","Portaria"
NA,NA,"Vagas na garagem1",NA
"R$ 235.000VendaCondomínioR$ 450 / mêsIPTUR$ 100Simular financiamento(85) 99629-6...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Joaquim JerônimoMondubim, Fortaleza, CE, 60711520","Área útil66m²","Condomínio fechado"
NA,NA,"Quartos3","Permitido animais"
NA,NA,"Banheiros1","Portaria"
NA,NA,"Vagas na garagem1",NA
"R$ 220.000VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 3044-0...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Sebastião de AbreuMaraponga, Fortaleza, CE, 60710830","Área útil68m²","Permitido animais"
NA,NA,"Quartos3",NA
NA,NA,"Banheiros2",NA
NA,NA,"Vagas na garagem1",NA
"R$ 235.000VendaCondomínioR$ 356 / mêsIPTUR$ 100Simular financiamento(85) 99629-6...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Joaquim JerônimoMondubim, Fortaleza, CE, 60711520","Área útil66m²","Condomínio fechado"
NA,NA,"Quartos3","Permitido animais"
NA,NA,"Banheiros1","Portaria"
NA,NA,"Vagas na garagem1",NA
"R$ 175.000VendaCondomínioR$ 340 / mêsIPTUR$ 0Simular financiamento(85) 99971-1...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Joaquim JerônimoMondubim, Fortaleza, CE, 60711520","Área útil48m²","Ar condicionado"
NA,NA,"Quartos2","Permitido animais"
NA,NA,"Banheiros1",NA
NA,NA,"Vagas na garagem1",NA
"R$ 3.300.000R$ 330.000VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(98) 98858-4...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Mirtil MeyerMondubim, Fortaleza, CE, 60762080","Área útil49m²",NA
NA,NA,"Quartos2",NA
NA,NA,"Banheiros2",NA
NA,NA,"Vagas na garagem1",NA
"R$ 230.000VendaCondomínioR$ 331 / mêsSimular financiamentoChat","Rua Sebastião de AbreuMaraponga, Fortaleza, CE, 60710830","Área útil65m²","Área de serviço"
NA,NA,"Quartos3","Armários na cozinha"
NA,NA,"Banheiros2","Armários no quarto"
NA,NA,"Vagas na garagem1","Condomínio fechado"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 310.910VendaSimular financiamento(85) 98976-6...Exibir telefoneChat","Rua Júlio AlcidesMaraponga, Fortaleza, CE, 60710680","Área útil60m²","Academia"
NA,NA,"Quartos3","Condomínio fechado"
NA,NA,"Banheiros2","Elevador"
NA,NA,"Vagas na garagem2","Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
NA,NA,NA,"Segurança 24h"
"R$ 150.000VendaCondomínioR$ 300 / mêsIPTUR$ 100Simular financiamento(85) 99629-6...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035","Área útil68m²","Condomínio fechado"
NA,NA,"Quartos3","Permitido animais"
NA,NA,"Banheiros1","Portaria"
NA,NA,"Vagas na garagem1",NA
"R$ 165.000R$ 150.000VendaCondomínioR$ 180 / mêsIPTUR$ 0Simular financiamentoChat","Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035","Área útil40m²","Área de serviço"
NA,NA,"Quartos3","Condomínio fechado"
NA,NA,"Banheiros2","Permitido animais"
NA,NA,"Vagas na garagem1","Portaria"
NA,NA,NA,"Salão de festas"
NA,NA,NA,"Segurança 24h"
"R$ 270.000VendaCondomínioR$ 250 / mêsIPTUR$ 300Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Joaquim JerônimoMondubim, Fortaleza, CE, 60711520","Área útil58m²",NA
NA,NA,"Quartos3",NA
NA,NA,"Banheiros2",NA
NA,NA,"Vagas na garagem1",NA
"R$ 150.000VendaCondomínioR$ 275 / mêsSimular financiamento(85) 98697-2...Exibir telefoneChat","Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035","Área útil681m²","Condomínio fechado"
NA,NA,"Quartos3","Permitido animais"
NA,NA,"Banheiros2","Portaria"
NA,NA,"Vagas na garagem1","Salão de festas"
NA,NA,NA,"Segurança 24h"
"R$ 400.000VendaSimular financiamento(85) 99848-2...Exibir telefoneChat","Rua Rúbens MonteJardim Cearense, Fortaleza, CE, 60712025","Área útil726m²",NA
NA,NA,"Quartos3",NA
NA,NA,"Banheiros2",NA
NA,NA,"Vagas na garagem2",NA
"R$ 210.000VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 3044-0...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Sebastião de AbreuMaraponga, Fortaleza, CE, 60710830","Área útil65m²","Permitido animais"
NA,NA,"Quartos3",NA
NA,NA,"Banheiros2",NA
NA,NA,"Vagas na garagem1",NA
"R$ 255.000VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 99981-4...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Joaquim JerônimoMondubim, Fortaleza, CE, 60711520","Área útil62m²","Churrasqueira"
NA,NA,"Quartos3","Condomínio fechado"
NA,NA,"Banheiros2","Portaria"
NA,NA,"Vagas na garagem1",NA
"R$ 160.000VendaCondomínioR$ 185 / mêsSimular financiamentoChat","Rua Leon Gradvol - até 338/339Maraponga, Fortaleza, CE, 60711155","Área útil62m²","Armários na cozinha"
NA,NA,"Quartos2","Varanda"
NA,NA,"Banheiros1","Condomínio fechado"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Salão de festas"
"R$ 240.000VendaCondomínioR$ 288 / mêsIPTUR$ 0Simular financiamento(85) 3182-6...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Antônio DivinoMondubim, Fortaleza, CE, 60711540","Área útil50m²","Churrasqueira"
NA,NA,"Quartos2","Piscina"
NA,NA,"Banheiros2","Piscina"
NA,NA,"Vagas na garagem1",NA
"R$ 249.900VendaCondomínioR$ 400 / mêsIPTUR$ 0Simular financiamento(85) 99971-1...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Joaquim JerônimoMondubim, Fortaleza, CE, 60711520","Área útil65m²","Área de serviço"
NA,NA,"Quartos3","Condomínio fechado"
NA,NA,"Banheiros2","Permitido animais"
NA,NA,"Vagas na garagem1",NA
"R$ 280.000VendaCondomínioR$ 333 / mêsSimular financiamentoChat","Rua Sebastião de AbreuMaraponga, Fortaleza, CE, 60710830","Área útil67m²","Ar condicionado"
NA,NA,"Quartos3","Armários na cozinha"
NA,NA,"Banheiros2","Armários no quarto"
NA,NA,"Vagas na garagem1","Mobiliado"
NA,NA,NA,"Condomínio fechado"
