"Valor","Localizacao","Caracteristicas","Caracteristicas_Imovel"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
NA,NA,NA,"Segurança 24h"
"R$ 31.000VendaCondomínioR$ 200 / mêsIPTUR$ 300Simular financiamento(85) 99794-8...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Via Coletora A (Lot São Mateus I)Mondubim, Fortaleza, CE, 60768010","Área útil44m²","Ar condicionado"
NA,NA,"Quartos2","Churrasqueira"
NA,NA,"Banheiros1","Condomínio fechado"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 221.000VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 98827-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Wenefrido MeloMondubim, Fortaleza, CE, 60762410","Área útil49m²","Churrasqueira"
NA,NA,"Quartos2","Piscina"
NA,NA,"Banheiros2","Piscina"
NA,NA,"Vagas na garagem1",NA
"R$ 190.000R$ 184.900VendaCondomínioR$ 220 / mêsIPTUR$ 100Simular financiamento(85) 99140-3...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Júlio AlcidesMaraponga, Fortaleza, CE, 60710680","Área útil43m²","Academia"
NA,NA,"Quartos2","Academia"
NA,NA,"Banheiros1","Condomínio fechado"
NA,NA,"Vagas na garagem1","Elevador"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Portaria"
"R$ 225.000VendaCondomínioR$ 300 / mêsIPTUR$ 100Simular financiamento(85) 99140-3...Exibir telefoneChat","MondubimFortaleza, CE, 60711520","Área útil63m²","Área de serviço"
NA,NA,"Quartos3","Churrasqueira"
NA,NA,"Banheiros2","Piscina"
NA,NA,"Vagas na garagem1","Condomínio fechado"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 345.000R$ 320.700VendaCondomínioR$ 460 / mêsSimular financiamento(85) 98894-3...Exibir telefoneChat","Rua Florêncio Coelho HolandaMaraponga, Fortaleza, CE, 60711220","Área útil68m²","Academia"
NA,NA,"Quartos3","Área de serviço"
NA,NA,"Banheiros2","Churrasqueira"
NA,NA,"Vagas na garagem1","Piscina"
NA,NA,NA,"Varanda"
NA,NA,NA,"Academia"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Elevador"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
NA,NA,NA,"Segurança 24h"
"R$ 30.000VendaCondomínioR$ 200 / mêsIPTUR$ 300Simular financiamento(85) 99794-8...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Via Coletora A (Lot São Mateus I)Mondubim, Fortaleza, CE, 60768010","Área útil44m²","Ar condicionado"
NA,NA,"Quartos2","Churrasqueira"
NA,NA,"Banheiros1","Condomínio fechado"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 31.000VendaCondomínioR$ 200 / mêsIPTUR$ 300Simular financiamento(85) 99794-8...Exibir telefoneChat","MondubimFortaleza, CE, 60768010","Área útil44m²","Ar condicionado"
NA,NA,"Quartos2","Churrasqueira"
NA,NA,"Banheiros1","Condomínio fechado"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 31.000VendaCondomínioR$ 200 / mêsIPTUR$ 300Simular financiamento(85) 99794-8...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Via Coletora A (Lot São Mateus I)Mondubim, Fortaleza, CE, 60768010","Área útil44m²","Ar condicionado"
NA,NA,"Quartos2","Churrasqueira"
NA,NA,"Banheiros1","Condomínio fechado"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 31.000VendaCondomínioR$ 200 / mêsIPTUR$ 150Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Via Coletora A (Lot São Mateus I)Mondubim, Fortaleza, CE, 60768010","Área útil44m²","Churrasqueira"
NA,NA,"Quartos2","Condomínio fechado"
NA,NA,"Banheiros1","Permitido animais"
NA,NA,"Vagas na garagem1","Salão de festas"
"R$ 45.000VendaCondomínioR$ 100 / mêsIPTUR$ 100Simular financiamento(85) 99629-6...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua ItaciraMondubim, Fortaleza, CE, 60711446","Área útil45m²","Condomínio fechado"
NA,NA,"Quartos2","Permitido animais"
NA,NA,"Banheiros1","Portaria"
NA,NA,"Vagas na garagem1",NA
"R$ 530.000VendaCondomínioR$ 469 / mêsIPTUR$ 0Simular financiamento(85) 99675-7...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Rúbens MonteJardim Cearense, Fortaleza, CE, 60712025","Área útil64m²","Academia"
NA,NA,"Quartos3","Ar condicionado"
NA,NA,"Banheiros2","Churrasqueira"
NA,NA,NA,"Piscina"
NA,NA,NA,"Academia"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Elevador"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 435.000VendaCondomínioR$ 495 / mêsIPTUR$ 0Simular financiamento(85) 98810-5...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Rúbens MonteJardim Cearense, Fortaleza, CE, 60712025","Área útil54m²","Academia"
NA,NA,"Quartos2","Ar condicionado"
NA,NA,"Banheiros2","Churrasqueira"
NA,NA,"Vagas na garagem1","Piscina"
NA,NA,NA,"Academia"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Elevador"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 165.000VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 98810-5...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Coronel Manuel AlbanoMondubim, Fortaleza, CE, 60711465","Área útil42m²",NA
NA,NA,"Quartos2",NA
NA,NA,"Banheiros1",NA
NA,NA,"Vagas na garagem1",NA
"R$ 329.000VendaCondomínioR$ 460 / mêsIPTUR$ 0Simular financiamento(85) 3232-7...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Florêncio Coelho HolandaMaraponga, Fortaleza, CE, 60711220","Área útil68m²","Ar condicionado"
NA,NA,"Quartos3","Área de serviço"
NA,NA,"Banheiros3","Churrasqueira"
NA,NA,"Vagas na garagem1","Varanda"
NA,NA,NA,"Elevador"
NA,NA,NA,"Permitido animais"
"R$ 450.000VendaCondomínioR$ 550 / mêsIPTUR$ 1.110Simular financiamento(85) 98159-4...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua AssunçãoJardim Cearense, Fortaleza, CE, 60712020","Área útil72m²","Churrasqueira"
NA,NA,"Quartos3","Piscina"
NA,NA,"Banheiros2","Condomínio fechado"
NA,NA,"Vagas na garagem2","Piscina"
NA,NA,NA,"Salão de festas"
"R$ 32.000VendaCondomínioR$ 200 / mêsIPTUR$ 250Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Via Coletora A (Lot São Mateus I)Mondubim, Fortaleza, CE, 60768010","Área útil44m²","Churrasqueira"
NA,NA,"Quartos2","Condomínio fechado"
NA,NA,"Banheiros1","Permitido animais"
NA,NA,"Vagas na garagem1","Salão de festas"
"R$ 135.000VendaCondomínioR$ 200 / mêsIPTUR$ 200Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035","Área útil44m²","Churrasqueira"
NA,NA,"Quartos2","Condomínio fechado"
NA,NA,"Banheiros1","Permitido animais"
NA,NA,"Vagas na garagem1","Portaria"
NA,NA,NA,"Salão de festas"
"R$ 150.000VendaCondomínioR$ 200 / mêsIPTUR$ 200Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035","Área útil44m²","Condomínio fechado"
NA,NA,"Quartos2","Permitido animais"
NA,NA,"Banheiros2","Salão de festas"
NA,NA,"Vagas na garagem1",NA
"R$ 230.000VendaCondomínioR$ 282 / mêsIPTUR$ 0Simular financiamento(85) 98159-4...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Antônio DivinoMondubim, Fortaleza, CE, 60711540","Área útil49m²","Churrasqueira"
NA,NA,"Quartos2","Piscina"
NA,NA,"Banheiros2","Condomínio fechado"
NA,NA,"Vagas na garagem1","Piscina"
NA,NA,NA,"Salão de festas"
"R$ 260.000VendaCondomínioR$ 400 / mêsIPTUR$ 0Simular financiamento(85) 98769-9...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Paurilo Barroso - até 731/732Jardim Cearense, Fortaleza, CE, 60712122","Área útil65m²","Área de serviço"
NA,NA,"Quartos3","Armários na cozinha"
NA,NA,"Banheiros2","Armários no quarto"
NA,NA,"Vagas na garagem2","Churrasqueira"
NA,NA,NA,"Piscina"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
"R$ 185.000VendaCondomínioR$ 500 / mêsIPTUR$ 0Simular financiamento(85) 3491-1...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua BélgicaMaraponga, Fortaleza, CE, 60710790","Área útil56m²","Academia"
NA,NA,"Quartos2","Churrasqueira"
NA,NA,"Banheiros2","Academia"
NA,NA,"Vagas na garagem1","Condomínio fechado"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Salão de festas"
"R$ 750.000VendaCondomínioR$ 650 / mêsIPTUR$ 0Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua DiamanteMondubim, Fortaleza, CE, 60761445","Área útil70m²",NA
NA,NA,"Quartos3",NA
NA,NA,"Banheiros1",NA
NA,NA,"Vagas na garagem2",NA
"R$ 219.900VendaCondomínioR$ 288 / mêsIPTUR$ 0Simular financiamento(85) 3467-6...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Antônio DivinoMondubim, Fortaleza, CE, 60711540","Área útil43m²","Churrasqueira"
NA,NA,"Quartos2","Piscina"
NA,NA,"Banheiros1","Condomínio fechado"
NA,NA,"Vagas na garagem1","Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 390.000VendaCondomínioR$ 0 / mêsIPTUR$ 100Simular financiamento(85) 99140-3...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Doutor Paulo de Mello MachadoJardim Cearense, Fortaleza, CE, 60712130","Área útil90m²","Permitido animais"
NA,NA,"Quartos3",NA
NA,NA,"Banheiros4",NA
NA,NA,"Vagas na garagem3",NA
"R$ 150.000R$ 135.000VendaCondomínioR$ 200 / mêsIPTUR$ 200Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035","Área útil44m²","Academia"
NA,NA,"Quartos2","Churrasqueira"
NA,NA,"Banheiros2","Academia"
NA,NA,"Vagas na garagem1","Condomínio fechado"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Salão de festas"
"R$ 180.000VendaCondomínioR$ 250 / mêsIPTUR$ 300Simular financiamento(85) 99794-8...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035","Área útil60m²","Ar condicionado"
NA,NA,"Quartos3","Churrasqueira"
NA,NA,"Banheiros2","Condomínio fechado"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 180.000VendaCondomínioR$ 470 / mêsIPTUR$ 0Simular financiamento(85) 98769-9...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Professor ManducaMondubim, Fortaleza, CE, 60711555","Área útil63m²","Área de serviço"
NA,NA,"Quartos3","Armários na cozinha"
NA,NA,"Banheiros2","Armários no quarto"
NA,NA,"Vagas na garagem1","Mobiliado"
NA,NA,NA,"Piscina"
NA,NA,NA,"Varanda"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Salão de festas"
"R$ 220.000VendaCondomínioR$ 220 / mêsIPTUR$ 0Simular financiamento(85) 98769-9...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Carlos Juaçaba - de 501/502 ao fimMaraponga, Fortaleza, CE, 60710715","Área útil45m²","Academia"
NA,NA,"Quartos2","Área de serviço"
NA,NA,"Banheiros1","Churrasqueira"
NA,NA,"Vagas na garagem1","Piscina"
NA,NA,NA,"Academia"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 150.000VendaCondomínioR$ 200 / mêsIPTUR$ 100Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Suíça - até 568/569Maraponga, Fortaleza, CE, 60711035","Área útil44m²","Churrasqueira"
NA,NA,"Quartos2","Condomínio fechado"
NA,NA,"Banheiros1","Permitido animais"
NA,NA,"Vagas na garagem1","Portaria"
NA,NA,NA,"Salão de festas"
"R$ 50.000VendaCondomínioR$ 200 / mêsIPTUR$ 100Simular financiamento(85) 99794-8...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua ItaciraMondubim, Fortaleza, CE, 60711446","Área útil44m²","Ar condicionado"
NA,NA,"Quartos2","Churrasqueira"
NA,NA,"Banheiros1","Condomínio fechado"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 49.000VendaCondomínioR$ 200 / mêsIPTUR$ 100Simular financiamento(85) 99794-8...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua ItaciraMondubim, Fortaleza, CE, 60711446","Área útil44m²","Ar condicionado"
NA,NA,"Quartos2","Churrasqueira"
NA,NA,"Banheiros1","Condomínio fechado"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 199.000R$ 185.000VendaCondomínioR$ 200 / mêsIPTUR$ 100Simular financiamento(85) 99794-8...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Júlio AlcidesMaraponga, Fortaleza, CE, 60710680","Área útil44m²","Ar condicionado"
NA,NA,"Quartos2","Churrasqueira"
NA,NA,"Banheiros1","Piscina"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Salão de festas"
"R$ 310.000VendaCondomínioR$ 350 / mêsIPTUR$ 0Simular financiamento(85) 3491-1...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua BélgicaMaraponga, Fortaleza, CE, 60710790","Área útil49m²","Academia"
NA,NA,"Quartos2","Churrasqueira"
NA,NA,"Banheiros2","Piscina"
NA,NA,"Vagas na garagem1","Academia"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Elevador"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 265.000VendaCondomínioR$ 330 / mêsIPTUR$ 0Simular financiamento(85) 3491-1...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Sebastião de AbreuMaraponga, Fortaleza, CE, 60710830","Área útil68m²","Ar condicionado"
NA,NA,"Quartos3","Mobiliado"
NA,NA,"Banheiros2","Condomínio fechado"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Portaria"
"R$ 219.999VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 3491-1...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Coronel Jaime RolembergJardim Cearense, Fortaleza, CE, 60712175","Área útil50m²","Piscina"
NA,NA,"Quartos2","Piscina"
NA,NA,"Banheiros1",NA
NA,NA,"Vagas na garagem1",NA
"R$ 185.000R$ 173.000VendaCondomínioR$ 360 / mêsIPTUR$ 0Simular financiamento(85) 98844-3...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Vinícios de Morais - de 552/553 a 1210/1211Maraponga, Fortaleza, CE, 60711095","Área útil64m²","Churrasqueira"
NA,NA,"Quartos3","Piscina"
NA,NA,"Banheiros2","Condomínio fechado"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Salão de festas"
"R$ 250.000VendaCondomínioR$ 424 / mêsSimular financiamento(85) 99625-7...Exibir telefoneChat","Rua Monte LíbanoMondubim, Fortaleza, CE, 60762376","Área útil66m²","Área de serviço"
NA,NA,"Quartos3","Varanda"
NA,NA,"Banheiros2","Condomínio fechado"
NA,NA,"Vagas na garagem2","Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
NA,NA,NA,"Segurança 24h"
"R$ 260.000VendaCondomínioR$ 480 / mêsIPTUR$ 0Simular financiamento(85) 98810-5...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Paurilo Barroso - até 731/732Jardim Cearense, Fortaleza, CE, 60712122","Área útil68m²","Área de serviço"
NA,NA,"Quartos3","Armários na cozinha"
NA,NA,"Banheiros2","Churrasqueira"
NA,NA,"Vagas na garagem2","Piscina"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
"R$ 135.000VendaCondomínioR$ 350 / mêsIPTUR$ 50Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Coronel Manuel AlbanoMondubim, Fortaleza, CE, 60711465","Área útil44m²",NA
NA,NA,"Quartos2",NA
NA,NA,"Banheiros1",NA
NA,NA,"Vagas na garagem1",NA
"R$ 329.000VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 99632-1...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Mirtil MeyerMondubim, Fortaleza, CE, 60762080","Área útil50m²","Academia"
NA,NA,"Quartos2","Área de serviço"
NA,NA,"Banheiros2","Churrasqueira"
NA,NA,"Vagas na garagem1","Varanda"
NA,NA,NA,"Academia"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Elevador"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 590.000VendaCondomínioR$ 514 / mêsIPTUR$ 0Simular financiamento(85) 99133-2...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Rúbens MonteJardim Cearense, Fortaleza, CE, 60712025","Área útil64m²","Academia"
NA,NA,"Quartos3","Churrasqueira"
NA,NA,"Banheiros2","Piscina"
NA,NA,"Vagas na garagem2","Academia"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Elevador"
NA,NA,NA,"Piscina"
"R$ 490.000VendaCondomínioR$ 514 / mêsIPTUR$ 0Simular financiamento(85) 99133-2...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Rúbens MonteJardim Cearense, Fortaleza, CE, 60712025","Área útil64m²","Academia"
NA,NA,"Quartos3","Churrasqueira"
NA,NA,"Banheiros2","Piscina"
NA,NA,"Vagas na garagem2","Academia"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Elevador"
NA,NA,NA,"Piscina"
"R$ 269.900VendaCondomínioR$ 260 / mêsIPTUR$ 150Simular financiamento(85) 99963-7...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Joaquim JerônimoMondubim, Fortaleza, CE, 60711520","Área útil58m²",NA
NA,NA,"Quartos3",NA
NA,NA,"Banheiros2",NA
NA,NA,"Vagas na garagem1",NA
"R$ 250.000R$ 239.990VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 99741-8...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua A (Cj Res Itaperi)Mondubim, Fortaleza, CE, 60761525","Área útil43m²","Churrasqueira"
NA,NA,"Quartos2","Piscina"
NA,NA,"Banheiros1","Elevador"
NA,NA,"Vagas na garagem1","Permitido animais"
NA,NA,NA,"Piscina"
"R$ 479.000VendaCondomínioR$ 499 / mêsIPTUR$ 900Simular financiamento(85) 99733-6...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Mirtil MeyerMondubim, Fortaleza, CE, 60762080","Área útil64m²","Academia"
NA,NA,"Quartos3","Ar condicionado"
NA,NA,"Banheiros2","Armários na cozinha"
NA,NA,"Vagas na garagem2","Armários no quarto"
NA,NA,NA,"Churrasqueira"
NA,NA,NA,"Piscina"
NA,NA,NA,"Varanda"
NA,NA,NA,"Academia"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Elevador"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 214.990VendaCondomínioR$ 1 / mêsIPTUR$ 1Simular financiamento(98) 98858-4...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Cristiano OtoniMondubim, Fortaleza, CE, 60761420","Área útil43m²","Churrasqueira"
NA,NA,"Quartos2","Piscina"
NA,NA,"Banheiros1","Elevador"
NA,NA,"Vagas na garagem1","Piscina"
"R$ 189.000VendaCondomínioR$ 220 / mêsSimular financiamento(85) 98776-5...Exibir telefoneChat","Rua Coronel Manuel AlbanoMondubim, Fortaleza, CE, 60711465","Área útil48m²","Condomínio fechado"
NA,NA,"Quartos2","Permitido animais"
NA,NA,"Banheiros1","Piscina"
NA,NA,"Vagas na garagem1","Portaria"
NA,NA,NA,"Salão de festas"
"R$ 235.000VendaCondomínioR$ 356 / mêsIPTUR$ 0Simular financiamento(85) 3045-1...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Joaquim JerônimoMondubim, Fortaleza, CE, 60711520","Área útil63m²","Churrasqueira"
NA,NA,"Quartos3","Piscina"
NA,NA,"Banheiros2","Permitido animais"
NA,NA,"Vagas na garagem1","Piscina"
"R$ 189.000VendaCondomínioR$ 220 / mêsIPTUR$ 0Simular financiamento(85) 3491-1...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Coronel Manuel AlbanoMondubim, Fortaleza, CE, 60711465","Área útil49m²","Churrasqueira"
NA,NA,"Quartos2","Condomínio fechado"
NA,NA,"Banheiros2","Permitido animais"
NA,NA,"Vagas na garagem1","Portaria"
NA,NA,NA,"Salão de festas"
"R$ 200.000VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 99632-1...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Coronel Jaime RolembergJardim Cearense, Fortaleza, CE, 60712175","Área útil52m²","Armários na cozinha"
NA,NA,"Quartos2","Condomínio fechado"
NA,NA,"Banheiros1","Permitido animais"
NA,NA,"Vagas na garagem1","Portaria"
"R$ 200.000VendaCondomínioR$ 0 / mêsIPTUR$ 0Simular financiamento(85) 99632-1...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Coronel Jaime RolembergJardim Cearense, Fortaleza, CE, 60712175","Área útil52m²","Armários na cozinha"
NA,NA,"Quartos2","Condomínio fechado"
NA,NA,"Banheiros1","Permitido animais"
NA,NA,"Vagas na garagem1","Portaria"
"R$ 385.000VendaCondomínioR$ 399 / mêsIPTUR$ 900Simular financiamento(85) 99733-6...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Rúbens MonteJardim Cearense, Fortaleza, CE, 60712025","Área útil68m²","Academia"
NA,NA,"Quartos3","Ar condicionado"
NA,NA,"Banheiros1","Churrasqueira"
NA,NA,"Vagas na garagem2","Piscina"
NA,NA,NA,"Academia"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Elevador"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 410.000R$ 399.000VendaCondomínioR$ 1 / mêsIPTUR$ 1Simular financiamento(85) 3046-1...Exibir telefoneChatAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Mirtil MeyerMondubim, Fortaleza, CE, 60762080","Área útil68m²","Área de serviço"
NA,NA,"Quartos3","Armários no quarto"
NA,NA,"Banheiros2","Churrasqueira"
NA,NA,"Vagas na garagem1","Piscina"
NA,NA,NA,"Varanda"
NA,NA,NA,"Condomínio fechado"
NA,NA,NA,"Elevador"
NA,NA,NA,"Permitido animais"
NA,NA,NA,"Piscina"
NA,NA,NA,"Portaria"
NA,NA,NA,"Salão de festas"
"R$ 240.000VendaCondomínioR$ 300 / mêsIPTUR$ 0Simular financiamento(85) 3298-4...Exibir telefoneEnviar mensagemAo ver número ou enviar mensagem, seus dados poderão ser compartilhados com o anunciante.Saiba mais","Rua Paurilo Barroso - até 731/732Jardim Cearense, Fortaleza, CE, 60712122","Área útil62m²","Condomínio fechado"
NA,NA,"Quartos3","Permitido animais"
NA,NA,"Banheiros2",NA
NA,NA,"Vagas na garagemNão Tem",NA
